run,type,module,name,attrname,attrvalue,value
General-1-20210130-15:15:49-27616,runattr,,,configname,General,
General-1-20210130-15:15:49-27616,runattr,,,datetime,20210130-15:15:49,
General-1-20210130-15:15:49-27616,runattr,,,datetimef,20210130-151549,
General-1-20210130-15:15:49-27616,runattr,,,experiment,General,
General-1-20210130-15:15:49-27616,runattr,,,inifile,omnetpp.ini,
General-1-20210130-15:15:49-27616,runattr,,,iterationvars,$lambda=0.1,
General-1-20210130-15:15:49-27616,runattr,,,iterationvarsf,lambda=0.1-,
General-1-20210130-15:15:49-27616,runattr,,,measurement,$lambda=0.1,
General-1-20210130-15:15:49-27616,runattr,,,network,SimpleQueue,
General-1-20210130-15:15:49-27616,runattr,,,processid,27616,
General-1-20210130-15:15:49-27616,runattr,,,repetition,1,
General-1-20210130-15:15:49-27616,runattr,,,replication,#1,
General-1-20210130-15:15:49-27616,runattr,,,resultdir,results,
General-1-20210130-15:15:49-27616,runattr,,,runnumber,1,
General-1-20210130-15:15:49-27616,runattr,,,seedset,1,
General-1-20210130-15:15:49-27616,itervar,,,iterationvarsd,lambda=0.1,
General-1-20210130-15:15:49-27616,itervar,,,lambda,0.1,
General-1-20210130-15:15:49-27616,config,,,repeat,5,
General-1-20210130-15:15:49-27616,config,,,network,SimpleQueue,
General-1-20210130-15:15:49-27616,config,,,**.numJobs,1000,
General-1-20210130-15:15:49-27616,config,,,**.arrivalRate,exponential(0.1),
General-1-20210130-15:15:49-27616,config,,,**.serviceRate,1,
General-0-20210130-15:15:49-27616,runattr,,,configname,General,
General-0-20210130-15:15:49-27616,runattr,,,datetime,20210130-15:15:49,
General-0-20210130-15:15:49-27616,runattr,,,datetimef,20210130-151549,
General-0-20210130-15:15:49-27616,runattr,,,experiment,General,
General-0-20210130-15:15:49-27616,runattr,,,inifile,omnetpp.ini,
General-0-20210130-15:15:49-27616,runattr,,,iterationvars,$lambda=0.1,
General-0-20210130-15:15:49-27616,runattr,,,iterationvarsf,lambda=0.1-,
General-0-20210130-15:15:49-27616,runattr,,,measurement,$lambda=0.1,
General-0-20210130-15:15:49-27616,runattr,,,network,SimpleQueue,
General-0-20210130-15:15:49-27616,runattr,,,processid,27616,
General-0-20210130-15:15:49-27616,runattr,,,repetition,0,
General-0-20210130-15:15:49-27616,runattr,,,replication,#0,
General-0-20210130-15:15:49-27616,runattr,,,resultdir,results,
General-0-20210130-15:15:49-27616,runattr,,,runnumber,0,
General-0-20210130-15:15:49-27616,runattr,,,seedset,0,
General-0-20210130-15:15:49-27616,itervar,,,iterationvarsd,lambda=0.1,
General-0-20210130-15:15:49-27616,itervar,,,lambda,0.1,
General-0-20210130-15:15:49-27616,config,,,repeat,5,
General-0-20210130-15:15:49-27616,config,,,network,SimpleQueue,
General-0-20210130-15:15:49-27616,config,,,**.numJobs,1000,
General-0-20210130-15:15:49-27616,config,,,**.arrivalRate,exponential(0.1),
General-0-20210130-15:15:49-27616,config,,,**.serviceRate,1,
General-2-20210130-15:15:49-27616,runattr,,,configname,General,
General-2-20210130-15:15:49-27616,runattr,,,datetime,20210130-15:15:49,
General-2-20210130-15:15:49-27616,runattr,,,datetimef,20210130-151549,
General-2-20210130-15:15:49-27616,runattr,,,experiment,General,
General-2-20210130-15:15:49-27616,runattr,,,inifile,omnetpp.ini,
General-2-20210130-15:15:49-27616,runattr,,,iterationvars,$lambda=0.1,
General-2-20210130-15:15:49-27616,runattr,,,iterationvarsf,lambda=0.1-,
General-2-20210130-15:15:49-27616,runattr,,,measurement,$lambda=0.1,
General-2-20210130-15:15:49-27616,runattr,,,network,SimpleQueue,
General-2-20210130-15:15:49-27616,runattr,,,processid,27616,
General-2-20210130-15:15:49-27616,runattr,,,repetition,2,
General-2-20210130-15:15:49-27616,runattr,,,replication,#2,
General-2-20210130-15:15:49-27616,runattr,,,resultdir,results,
General-2-20210130-15:15:49-27616,runattr,,,runnumber,2,
General-2-20210130-15:15:49-27616,runattr,,,seedset,2,
General-2-20210130-15:15:49-27616,itervar,,,iterationvarsd,lambda=0.1,
General-2-20210130-15:15:49-27616,itervar,,,lambda,0.1,
General-2-20210130-15:15:49-27616,config,,,repeat,5,
General-2-20210130-15:15:49-27616,config,,,network,SimpleQueue,
General-2-20210130-15:15:49-27616,config,,,**.numJobs,1000,
General-2-20210130-15:15:49-27616,config,,,**.arrivalRate,exponential(0.1),
